Date,Closing Index Value,Total Market Capitalization
2020-04-08,2749.98,23299808633408.81
2020-04-09,2789.82,23637361770506.18
2020-04-13,2761.63,23398515813308.02
2020-04-14,2846.06,24113867504199.84
2020-04-15,2783.36,23582628003798.12
2020-04-16,2799.55,23719801329340.44
2020-04-17,2874.56,24355340004382.44
2020-04-20,2823.16,23919842232123.3
2020-04-21,2736.56,23186104740340.37
2020-04-22,2799.31,23717767876707.33
2020-04-23,2797.8,23704974070557.3
2020-04-24,2836.74,24034901760280.48
2020-04-27,2878.48,24388553064056.68
2020-04-28,2863.39,24260699729749.47
2020-04-29,2939.51,24905643123219.64
2020-04-30,2912.43,24676201884449.64
2020-05-01,2830.71,23983811262873.42
2020-05-04,2842.74,24085738076108.39
2020-05-05,2868.44,24303486962237.97
2020-05-06,2848.42,24133863121758.82
2020-05-07,2881.19,24411514133372.29
2020-05-08,2929.8,24823373018771.46
2020-05-11,2930.32,24827778832809.88
2020-05-12,2870.12,24317721130669.78
2020-05-13,2820.0,23893068439120.59
2020-05-14,2852.5,24168431816521.8
2020-05-15,2863.7,24263326272733.91
2020-05-18,2953.91,25027650281206.64
2020-05-19,2922.94,24765250164341.54
2020-05-20,2971.61,25177617412898.99
2020-05-21,2948.51,24981897596961.51
2020-05-22,2955.45,25040698268935.8
2020-05-26,2991.77,25348427434080.78
2020-05-27,3036.13,25724277262435.18
2020-05-28,3029.73,25670051858885.4
2020-05-29,3044.31,25793584106347.24
2020-06-01,3055.73,25890342560806.37
2020-06-02,3080.82,26102923088160.11
2020-06-03,3122.87,26459200934920.75
2020-06-04,3112.35,26370067927835.8
2020-06-05,3193.93,27061272368709.37
2020-06-08,3232.39,27387133153166.31
2020-06-09,3207.18,27173535899496.02
2020-06-10,3190.14,27029160762544.74
2020-06-11,3002.1,25435950624497.84
2020-06-12,3041.31,25768165948433.28
2020-06-15,3066.59,25982356292454.9
2020-06-16,3124.74,26475044920020.45
2020-06-17,3113.49,26379726827843.11
2020-06-18,3115.34,26395401358556.72
2020-06-19,3097.74,26246281498794.83
2020-06-22,3117.86,26416752611204.44
2020-06-23,3131.29,26530541231465.92
2020-06-24,3050.33,25844589876561.24
2020-06-25,3083.76,26127832882915.78
2020-06-26,3009.05,25494836023665.18
2020-06-29,3053.24,25869245489737.78
2020-06-30,3100.29,26267886933021.7
2020-07-01,3115.86,26399807172595.14
2020-07-02,3130.01,26519696150755.98
2020-07-06,3179.72,26940875027390.26
2020-07-07,3145.32,26649413483310.2
2020-07-08,3169.94,26858011832590.76
2020-07-09,3152.05,26706434884230.52
2020-07-10,3185.04,26985949894091.01
2020-07-13,3155.22,26733293404426.26
2020-07-14,3197.52,27091689431013.08
2020-07-15,3226.56,27337737199620.19
2020-07-16,3215.57,27244622014462.06
2020-07-17,3224.73,27322232123292.68
2020-07-20,3251.84,27551927543641.81
2020-07-21,3257.3,27598188591045.22
2020-07-22,3276.02,27756797896428.31
2020-07-23,3235.66,27414838945292.52
2020-07-24,3215.63,27245130377620.34
2020-07-27,3239.41,27446611642684.98
2020-07-28,3218.44,27268938718866.41
2020-07-29,3258.44,27607847491052.52
2020-07-30,3246.22,27504310861149.66
2020-07-31,3271.12,27715281571835.51
2020-08-03,3294.61,27914305748301.8
2020-08-04,3306.51,28015131108027.18
2020-08-05,3327.77,28195261120444.09
2020-08-06,3349.16,28376492586370.61
2020-08-07,3351.28,28394454751296.48
2020-08-10,3360.47,28472319041706.23
2020-08-11,3333.69,28245419618727.64
2020-08-12,3380.35,28640756701482.72
2020-08-13,3373.43,28582125483894.52
2020-08-14,3372.85,28577211306697.83
2020-08-17,3381.99,28654651961142.36
2020-08-18,3389.78,28720654444525.6
2020-08-19,3374.85,28594156745307.14
2020-08-20,3385.51,28684475933094.74
2020-08-21,3397.16,28783183112993.94
2020-08-24,3431.28,29072272295668.69
2020-08-25,3443.62,29176825651888.1
2020-08-26,3478.73,29474302826674.46
2020-08-27,3484.55,29523614053027.54
2020-08-28,3508.01,29722384047914.69
2020-08-31,3500.31,29657144109268.86
2020-09-01,3526.65,29880315535753.42
2020-09-02,3580.84,30339452194872.54
2020-09-03,3455.06,29273753560733.33
2020-09-04,3426.96,29035670148272.59
2020-09-08,3331.84,28229745088014.02
2020-09-09,3398.96,28798434007742.31
2020-09-10,3339.19,28292019574903.22
2020-09-11,3340.97,28307101015265.5
2020-09-14,3383.54,28667784676064.57
2020-09-15,3401.2,28817412898984.74
2020-09-16,3385.49,28684306478708.64
2020-09-17,3357.01,28443003432912.14
2020-09-18,3319.47,28124937550215.47
2020-09-21,3281.06,27799500401723.76
2020-09-22,3315.57,28091893944927.33
2020-09-23,3236.92,27425514571616.39
2020-09-24,3246.59,27507445767292.38
2020-09-25,3298.46,27946925717624.72
2020-09-28,3351.6,28397166021473.96
2020-09-29,3335.47,28260501059089.92
2020-09-30,3363.0,28493755021547.0
2020-10-01,3380.8,28644569425169.82
2020-10-02,3348.44,28370392228471.26
2020-10-05,3408.63,28880365203418.3
2020-10-06,3360.95,28476385946972.46
2020-10-07,3419.45,28972040026294.64
2020-10-08,3446.83,29204023080856.04
2020-10-09,3477.13,29460746475787.02
2020-10-12,3534.22,29944454020889.64
2020-10-13,3511.93,29755597107588.92
2020-10-14,3488.67,29558521656562.7
2020-10-15,3483.34,29513362062668.91
2020-10-16,3483.81,29517344240742.1
2020-10-19,3426.92,29035331239500.4
2020-10-20,3443.12,29172589292235.78
2020-10-21,3435.56,29108535534292.6
2020-10-22,3453.49,29260451391425.02
2020-10-23,3465.39,29361276751150.39
2020-10-26,3400.97,28815464173544.66
2020-10-27,3390.68,28728279891899.79
2020-10-28,3271.03,27714519027098.1
2020-10-29,3310.11,28045632897523.92
2020-10-30,3269.96,27705453217442.12
2020-11-02,3310.24,28046734351033.52
2020-11-03,3369.16,28545946972463.66
2020-11-04,3443.44,29175300562413.26
2020-11-05,3510.45,29743057483018.04
2020-11-06,3509.44,29734500036520.34
2020-11-09,3550.5,30082389891169.38
2020-11-10,3545.53,30040280476225.26
2020-11-11,3572.66,30270145350960.48
2020-11-12,3537.01,29968092907749.62
2020-11-13,3585.15,30375969615075.6
2020-11-16,3626.91,30729790373237.9
2020-11-17,3609.53,30582534511723.03
2020-11-18,3567.79,30228883207946.83
2020-11-19,3581.87,30348179095756.34
2020-11-20,3557.54,30142037835074.14
2020-11-23,3577.59,30311915857132.42
2020-11-24,3635.41,30801808487327.44
2020-11-25,3629.65,30753005624132.64
2020-11-27,3638.35,30826718282083.12
2020-11-30,3621.63,30685054415309.33
2020-12-01,3662.45,31030910817325.25
2020-12-02,3669.01,31086491855963.78
2020-12-03,3666.72,31067089328756.12
2020-12-04,3699.12,31341605434226.86
2020-12-07,3691.96,31280940764005.55
2020-12-08,3702.25,31368125045650.43
2020-12-09,3672.82,31118772916514.5
2020-12-10,3668.1,31078781681396.54
2020-12-11,3663.46,31039468263822.95
2020-12-14,3647.49,30904158936527.64
2020-12-15,3694.62,31303478197355.92
2020-12-16,3701.17,31358974508801.4
2020-12-17,3722.48,31539528157183.55
2020-12-18,3709.41,31428789715871.74
2020-12-21,3694.92,31306020013147.32
2020-12-22,3687.26,31241118983273.69
2020-12-23,3690.01,31264418961361.48
2020-12-24,3703.06,31374987948287.2
2020-12-28,3735.36,31648656781827.48
2020-12-29,3727.04,31578163757212.77
2020-12-30,3732.04,31620527353736.03
2020-12-31,3756.07,31824126798626.84
2021-01-04,3700.65,31354568694762.98
2021-01-05,3726.86,31576638667737.94
2021-01-06,3748.14,31756938134540.94
