"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2013","52.08","53.09","53.09","51.69","3.15M","-1.40%"
"08/23/2013","52.82","52.99","53.38","52.77","2.79M","-0.38%"
"08/22/2013","53.02","52.32","53.29","52.27","1.95M","1.43%"
"08/21/2013","52.27","52.58","52.76","51.99","2.54M","-0.68%"
"08/20/2013","52.63","52.45","53.61","52.19","3.29M","1.00%"
"08/19/2013","52.11","52.42","52.50","51.91","4.05M","-1.25%"
"08/16/2013","52.77","53.26","53.34","52.53","3.82M","-1.36%"
"08/15/2013","53.50","54.62","54.69","53.37","3.71M","-3.03%"
"08/14/2013","55.17","56.12","56.19","54.55","3.76M","-1.55%"
"08/13/2013","56.04","55.77","56.37","55.45","1.80M","0.88%"
"08/12/2013","55.55","56.00","56.59","55.47","2.28M","-1.26%"
"08/09/2013","56.26","56.41","56.41","55.76","1.57M","0.09%"
"08/08/2013","56.21","55.55","56.47","55.28","2.66M","1.83%"
"08/07/2013","55.20","56.25","56.50","55.13","2.39M","-2.65%"
"08/06/2013","56.70","56.16","56.84","56.16","2.25M","0.44%"
"08/05/2013","56.45","56.71","57.05","56.35","2.45M","-1.83%"
"08/02/2013","57.50","57.05","57.75","56.01","3.35M","0.63%"
"08/01/2013","57.14","57.08","57.48","56.78","2.30M","0.99%"
"07/31/2013","56.58","56.47","56.94","56.06","1.83M","-0.11%"
"07/30/2013","56.64","56.51","57.13","56.49","1.66M","0.27%"
"07/29/2013","56.49","56.75","57.00","56.37","1.94M","0.07%"
"07/26/2013","56.45","56.44","56.70","55.68","2.49M","-0.72%"
"07/25/2013","56.86","56.18","57.07","56.13","1.75M","0.74%"
"07/24/2013","56.44","57.35","57.68","56.07","2.15M","-1.33%"
"07/23/2013","57.20","58.40","58.40","57.08","1.94M","-1.87%"
"07/22/2013","58.29","58.44","58.76","57.93","2.31M","1.09%"
"07/19/2013","57.66","57.54","57.97","56.70","2.29M","0.84%"
"07/18/2013","57.18","57.35","58.05","56.67","2.10M","-0.30%"
"07/17/2013","57.35","57.45","57.71","57.25","2.00M","-0.21%"
"07/16/2013","57.47","57.75","57.84","57.34","1.76M","-0.28%"
"07/15/2013","57.63","56.50","57.75","56.48","1.94M","1.66%"
"07/12/2013","56.69","56.82","57.19","56.44","2.16M","0.02%"
"07/11/2013","56.68","56.73","56.87","56.46","2.21M","1.11%"
"07/10/2013","56.06","55.51","56.33","55.39","1.66M","1.23%"
"07/09/2013","55.38","55.68","56.00","55.28","2.01M","0.64%"
"07/08/2013","55.03","55.63","55.97","54.64","2.97M","-0.38%"
