"date","index","ticker","market_cap","company_name"
"2011-09-15","505","XOM","364579603915.17","Exxon Mobil Corporation"
"2011-09-16","415","AAPL","370363831316.30","Apple Inc."
"2011-09-19","415","AAPL","380656339287.71","Apple Inc."
"2011-09-20","415","AAPL","382339390905.68","Apple Inc."
"2011-09-21","415","AAPL","381127963642.20","Apple Inc."
"2011-09-22","415","AAPL","371584506116.14","Apple Inc."
"2011-09-23","415","AAPL","373877895134.03","Apple Inc."
"2011-09-26","415","AAPL","373774858733.39","Apple Inc."
"2011-09-27","415","AAPL","370149936994.05","Apple Inc."
"2011-09-28","415","AAPL","368063984586.51","Apple Inc."
"2011-09-29","505","XOM","363939212771.96","Exxon Mobil Corporation"
"2011-09-30","415","AAPL","353517943131.22","Apple Inc."
"2011-10-03","415","AAPL","347287898607.35","Apple Inc."
"2011-10-04","505","XOM","354107823287.39","Exxon Mobil Corporation"
"2011-10-05","505","XOM","359553391900.35","Exxon Mobil Corporation"
"2011-10-06","505","XOM","359261665010.37","Exxon Mobil Corporation"
"2011-10-07","505","XOM","357657167115.48","Exxon Mobil Corporation"
"2011-10-10","505","XOM","370882119461.24","Exxon Mobil Corporation"
"2011-10-11","415","AAPL","371104839651.73","Apple Inc."
"2011-10-12","505","XOM","375160780514.28","Exxon Mobil Corporation"
"2011-10-13","415","AAPL","378651351917.25","Apple Inc."
"2011-10-14","415","AAPL","391231962659.65","Apple Inc."
"2011-10-17","415","AAPL","389368511842.24","Apple Inc."
"2011-10-18","415","AAPL","391454464249.78","Apple Inc."
"2011-10-19","505","XOM","381335666352.19","Exxon Mobil Corporation"
"2011-10-20","505","XOM","382697058505.43","Exxon Mobil Corporation"
"2011-10-21","505","XOM","389601261568.29","Exxon Mobil Corporation"
"2011-10-24","505","XOM","389795746161.61","Exxon Mobil Corporation"
"2011-10-25","505","XOM","386246402333.52","Exxon Mobil Corporation"
"2011-10-26","505","XOM","394171649511.31","Exxon Mobil Corporation"
"2011-10-27","505","XOM","398109962526.04","Exxon Mobil Corporation"
"2011-10-28","505","XOM","396165116592.84","Exxon Mobil Corporation"
"2011-10-31","191","GOOGL","382712407728.64","Alphabet Inc."
"2011-11-01","191","GOOGL","373678008119.90","Alphabet Inc."
"2011-11-02","191","GOOGL","377662443115.32","Alphabet Inc."
"2011-11-03","191","GOOGL","385850876785.00","Alphabet Inc."
"2011-11-04","191","GOOGL","384972622069.64","Alphabet Inc."
"2011-11-07","191","GOOGL","392844625731.58","Alphabet Inc."
"2011-11-08","191","GOOGL","395434185590.84","Alphabet Inc."
"2011-11-09","191","GOOGL","388078802349.70","Alphabet Inc."
"2011-11-10","191","GOOGL","384288100012.08","Alphabet Inc."
"2011-11-11","191","GOOGL","392857541242.10","Alphabet Inc."
"2011-11-14","191","GOOGL","395860397438.00","Alphabet Inc."
"2011-11-15","191","GOOGL","398159358310.56","Alphabet Inc."
"2011-11-16","191","GOOGL","394872360883.22","Alphabet Inc."
