"date","index","ticker","market_cap","company_name","sp500_total_market_cap","proportion_sp500","expected_num_constituents","num_actual_constituents","available_data_prop"
"2022-09-26","415","AAPL","2422987279040.00","Apple Inc.","34087586933917.59","0.071","503","503","1.000"
"2022-09-23","415","AAPL","2434736777830.00","Apple Inc.","34446074903531.58","0.071","503","503","1.000"
"2022-09-22","415","AAPL","2472124545940.00","Apple Inc.","35047582248977.71","0.071","503","503","1.000"
"2022-08-17","415","AAPL","2825123343550.00","Apple Inc.","39866946769059.24","0.071","504","503","0.998"
"2022-08-18","415","AAPL","2818649271150.00","Apple Inc.","39957662793387.33","0.071","504","503","0.998"
"2023-11-09","415","AAPL","2851840259120.00","Apple Inc.","40362949021646.69","0.071","503","503","1.000"
"2023-11-10","415","AAPL","2914220844800.00","Apple Inc.","40984921409078.05","0.071","503","503","1.000"
"2023-11-13","415","AAPL","2889206073600.00","Apple Inc.","40955723953882.10","0.071","503","503","1.000"
"2023-11-16","415","AAPL","2965970152720.00","Apple Inc.","41851008987560.47","0.071","503","503","1.000"
"2023-11-17","415","AAPL","2965657468080.00","Apple Inc.","41882067883181.06","0.071","503","503","1.000"
"2023-11-20","415","AAPL","2993173716400.00","Apple Inc.","42187554957106.71","0.071","503","503","1.000"
"2023-11-21","415","AAPL","2980509988480.00","Apple Inc.","42115897231480.47","0.071","503","503","1.000"
"2023-11-22","415","AAPL","2990984923920.00","Apple Inc.","42301590299705.99","0.071","503","503","1.000"
"2022-09-20","415","AAPL","2539454898900.00","Apple Inc.","35940666906683.06","0.071","503","503","1.000"
"2023-12-06","415","AAPL","3006775498240.00","Apple Inc.","42120696304001.30","0.071","503","503","1.000"
